Predictor,Description,Category,Type,Table,ITEMID,Exists,Matching_ITEMID
PH,A BLOOD PH TEST IS A NORMAL PART OF A BLOOD GAS TEST OR ARTERIAL BLOOD GAS (ABG) TEST. IT MEASURES HOW MUCH OXYGEN AND CARBON DIOXIDE ARE IN YOUR BLOOD,LABORATORY VALUES,NUMERIC,LABEVENTS,50820,yes,[50820]
BASE EXCESS,EXCESS BICARBONATE (MMOL/L),LABORATORY VALUES,NUMERIC,LABEVENTS,,yes,[50802]
PCO2,"THE PARTIAL PRESSURE OF CARBON DIOXIDE FROM ARTERIAL BLOOD (MM HG). RANGES 35 TO 45 MMHG, OR 4.7 TO 6.0 KPA.",LABORATORY VALUES,NUMERIC,LABEVENTS,,yes,"[50818, 50830]"
WBC,LEUKOCYTE COUNT (COUNT/L),LABORATORY VALUES,NUMERIC,LABEVENTS,,yes,[51301]
OXYGEN SATURATION,OXYGEN SATURATION FROM ARTERIAL BLOOD (%) SAO2,LABORATORY VALUES,NUMERIC,LABEVENTS,,yes,[50817]
POTASSIUM,POTASSIAM (MMOL/L),LABORATORY VALUES,NUMERIC,LABEVENTS,,yes,"[50822, 50833, 50847, 50971, 51041, 51057, 51064, 51097]"
CALCIUM,CALCIUM (MG/DL),LABORATORY VALUES,NUMERIC,LABEVENTS,,no,"[51468, 51469, 51470, 50808, 50893, 51029, 51066, 51077]"
HEMATOCRIT,HEMATOCRIT (%),LABORATORY VALUES,NUMERIC,LABEVENTS,,yes,[51221]
HEMOGLOBIN,HEMOGLOBIN (G/DL),LABORATORY VALUES,NUMERIC,LABEVENTS,,yes,"[50805, 50811, 50814, 50852, 50855, 51212, 51222, 51223, 51224, 51225, 51285]"
MAGNESIUM,MAGNESIUM (MMOL/DL),LABORATORY VALUES,NUMERIC,LABEVENTS,,yes,"[50960, 51037, 51088]"
BLOOD UREA NITROGEN,BLOOD UREA NITROGEN (MG/DL),LABORATORY VALUES,NUMERIC,LABEVENTS,,no,[51006]
PHOSPHATE,PHOSPHATE (MG/DL),LABORATORY VALUES,NUMERIC,LABEVENTS,,yes,"[51470, 50970, 51040, 51095, 51503]"
BICARBONATE,BICARBONATE (MMOL/L),LABORATORY VALUES,NUMERIC,LABEVENTS,,yes,"[50803, 50837, 50882, 51027, 51048, 51061, 51076]"
CREATININE,CREATININE (MG/DL),LABORATORY VALUES,NUMERIC,LABEVENTS,50912,yes,[50912]
PLATELET COUNT,PLATELET COUNT (COUNT/ML),LABORATORY VALUES,NUMERIC,LABEVENTS,,yes,[51265]
CHLORIDE,CHLORIDE (MMOL/L),LABORATORY VALUES,NUMERIC,LABEVENTS,,yes,"[50806, 50839, 50902, 51013, 51030, 51050, 51062, 51078]"
