Predictor,Category,Table,Exists,Matching_ITEMID
ANION GAP,LABORATORY RESULT,LABEVENTS,yes,[50868]
ALBUMIN,LABORATORY RESULT,LABEVENTS,yes,"[50835, 50862, 51011, 51019, 51025, 51046, 51069, 51070, 51555]"
ALKALINE PHOSPHATASE,LABORATORY RESULT,LABEVENTS,yes,[50863]
ASPARATE AMINOTRANSFERASE,LABORATORY RESULT,LABEVENTS,no,[50878]
BANDS,LABORATORY RESULT,LABEVENTS,yes,[51144]
BILIRUBIN,LABORATORY RESULT,LABEVENTS,yes,[50885]
BLOOD UREA NITROGEN,LABORATORY RESULT,LABEVENTS,no,[51006]
CALCIUM,LABORATORY RESULT,LABEVENTS,no,"[51468, 51469, 51470, 50808, 50893, 51029, 51066, 51077]"
CREATININE,LABORATORY RESULT,LABEVENTS,yes,[50912]
ESTIMATED GFR,LABORATORY RESULT,LABEVENTS,no,[50920]
GLUCOSE,LABORATORY RESULT,LABEVENTS,yes,"[50809, 50842, 50931, 51014, 51022, 51034, 51053, 51084, 51478, 51529]"
LACTATE,LABORATORY RESULT,LABEVENTS,yes,[50813]
LYMPHOCYTE,LABORATORY RESULT,LABEVENTS,no,"[51365, 51375, 51385, 51427, 51440, 51446, 51110, 51116, 51133, 51143, 51244, 51245, 51343]"
MONOCYTE,LABORATORY RESULT,LABEVENTS,no,"[51355, 51379, 51120, 51253, 51254]"
NEUTROPHILS,LABORATORY RESULT,LABEVENTS,yes,[51256]
PLATELET COUNT,LABORATORY RESULT,LABEVENTS,yes,[51265]
WBC,LABORATORY RESULT,LABEVENTS,yes,[51301]
