Random Seed,NSamples,Event,Shapley Value,t (event index),Entity,Tolerance
42,1000,Event -1,0.36848753690719604,0,189535,1.25e-06
42,1000,Event -1,0.00041821815614775487,0,116009,1.25e-06
42,1000,Event -2,0.0005863848715506575,-1,116009,1.25e-06
42,1000,Event -3,0.061006763284416,-2,116009,1.25e-06
42,1000,Event -4,-0.0015323513543117687,-3,116009,1.25e-06
42,1000,Event -5,-0.0004942968669348795,-4,116009,1.25e-06
42,1000,Event -6,-0.000879682263054559,-5,116009,1.25e-06
42,1000,Event -7,0.00013103455610666845,-6,116009,1.25e-06
42,1000,Event -8,-0.12889328773032496,-7,116009,1.25e-06
42,1000,Event -9,0.14041435960353707,-8,116009,1.25e-06
42,1000,Event -10,0.006455555483419769,-9,116009,1.25e-06
42,1000,Event -11,0.044761651281359865,-10,116009,1.25e-06
42,1000,Event -1,-0.015199825167655945,0,112077,1.25e-06
42,1000,Event -2,0.4776676446199417,-1,112077,1.25e-06
42,1000,Event -1,0.08114022513230641,0,161160,1.25e-06
42,1000,Event -2,-0.0014371524254480975,-1,161160,1.25e-06
42,1000,Event -3,0.16211955746014914,-2,161160,1.25e-06
42,1000,Event -1,0.09541767835617065,0,138459,1.25e-06
42,1000,Event -2,0.013761401176452637,-1,138459,1.25e-06
42,1000,Event -1,-0.013350287452340126,0,106296,1.25e-06
42,1000,Event -2,0.09474570983577335,-1,106296,1.25e-06
42,1000,Event -3,-0.043628969753072344,-2,106296,1.25e-06
42,1000,Event -4,-0.05535736431678126,-3,106296,1.25e-06
42,1000,Event -5,-0.058450286090373935,-4,106296,1.25e-06
42,1000,Event -6,-0.05950411361243052,-5,106296,1.25e-06
42,1000,Event -7,-0.0622090900582927,-6,106296,1.25e-06
42,1000,Event -8,-0.061682786242592935,-7,106296,1.25e-06
42,1000,Event -9,-0.22941710136476012,-8,106296,1.25e-06
42,1000,Event -1,-0.0008440564076105737,0,108923,1.25e-06
42,1000,Event -2,0.02421716849009195,-1,108923,1.25e-06
42,1000,Event -3,0.025379955768585215,-2,108923,1.25e-06
42,1000,Event -4,0.5004729181528091,-3,108923,1.25e-06
42,1000,Event -1,4.982948303222656e-05,0,167615,1.25e-06
42,1000,Event -2,0.27541354298591614,-1,167615,1.25e-06
42,1000,Event -1,-0.01638396829366685,0,116367,1.25e-06
42,1000,Event -2,0.25355028361082077,-1,116367,1.25e-06
42,1000,Event -3,-0.039390695591767645,-2,116367,1.25e-06
42,1000,Event -4,0.3285170619686445,-3,116367,1.25e-06
42,1000,Event -1,-0.00501351590667452,0,145576,1.25e-06
42,1000,Event -2,-0.029429834726310885,-1,145576,1.25e-06
42,1000,Event -3,-0.01039567568472452,-2,145576,1.25e-06
42,1000,Event -4,-0.0061034109620820886,-3,145576,1.25e-06
42,1000,Event -5,-0.004989016694681987,-4,145576,1.25e-06
42,1000,Event -6,-0.0030240620175997455,-5,145576,1.25e-06
42,1000,Event -7,0.01709081707965757,-6,145576,1.25e-06
42,1000,Event -8,0.25062919237783976,-7,145576,1.25e-06
