Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events > t,0,0.0,189535
Sum of contribution of events ≤ t,0,0.36848753690719604,189535
Sum of contribution of events > t,-1,0.36848753690719604,189535
Sum of contribution of events ≤ t,-1,0.0,189535
Sum of contribution of events > t,0,0.0,116009
Sum of contribution of events ≤ t,0,0.12197434902191162,116009
Sum of contribution of events > t,-1,0.000398486852645874,116009
Sum of contribution of events ≤ t,-1,0.12157586216926575,116009
Sum of contribution of events > t,-2,0.0009559094905853271,116009
Sum of contribution of events ≤ t,-2,0.1210184395313263,116009
Sum of contribution of events > t,-3,0.051284343004226685,116009
Sum of contribution of events ≤ t,-3,0.07069000601768494,116009
Sum of contribution of events > t,-4,0.05100587010383606,116009
Sum of contribution of events ≤ t,-4,0.07096847891807556,116009
Sum of contribution of events > t,-5,0.05073711276054382,116009
Sum of contribution of events ≤ t,-5,0.0712372362613678,116009
Sum of contribution of events > t,-6,0.05062764883041382,116009
Sum of contribution of events ≤ t,-6,0.0713467001914978,116009
Sum of contribution of events > t,-7,0.0513557493686676,116009
Sum of contribution of events ≤ t,-7,0.07061859965324402,116009
Sum of contribution of events > t,-8,-0.05934607982635498,116009
Sum of contribution of events ≤ t,-8,0.1813204288482666,116009
Sum of contribution of events > t,-9,0.08502307534217834,116009
Sum of contribution of events ≤ t,-9,0.036951273679733276,116009
Sum of contribution of events > t,-10,0.08935585618019104,116009
Sum of contribution of events ≤ t,-10,0.03261849284172058,116009
Sum of contribution of events > t,-11,0.12197434902191162,116009
Sum of contribution of events ≤ t,-11,0.0,116009
Sum of contribution of events > t,0,0.0,112077
Sum of contribution of events ≤ t,0,0.46246781945228577,112077
Sum of contribution of events > t,-1,-0.015199825167655945,112077
Sum of contribution of events ≤ t,-1,0.4776676446199417,112077
Sum of contribution of events > t,-2,0.46246781945228577,112077
Sum of contribution of events ≤ t,-2,0.0,112077
Sum of contribution of events > t,0,0.0,161160
Sum of contribution of events ≤ t,0,0.24182263016700745,161160
Sum of contribution of events > t,-1,0.08455134928226471,161160
Sum of contribution of events ≤ t,-1,0.15727128088474274,161160
Sum of contribution of events > t,-2,0.07629194855690002,161160
Sum of contribution of events ≤ t,-2,0.16553068161010742,161160
Sum of contribution of events > t,-3,0.24182263016700745,161160
Sum of contribution of events ≤ t,-3,0.0,161160
Sum of contribution of events > t,0,0.0,138459
Sum of contribution of events ≤ t,0,0.10917907953262329,138459
Sum of contribution of events > t,-1,0.09541767835617065,138459
Sum of contribution of events ≤ t,-1,0.013761401176452637,138459
Sum of contribution of events > t,-2,0.10917907953262329,138459
Sum of contribution of events ≤ t,-2,0.0,138459
Sum of contribution of events > t,0,0.0,106296
Sum of contribution of events ≤ t,0,-0.4888542890548706,106296
Sum of contribution of events > t,-1,-0.011909842491149902,106296
Sum of contribution of events ≤ t,-1,-0.4769444465637207,106296
Sum of contribution of events > t,-2,0.056807130575180054,106296
Sum of contribution of events ≤ t,-2,-0.5456614196300507,106296
Sum of contribution of events > t,-3,0.02536322921514511,106296
Sum of contribution of events ≤ t,-3,-0.5142175182700157,106296
Sum of contribution of events > t,-4,-0.01880548894405365,106296
Sum of contribution of events ≤ t,-4,-0.47004880011081696,106296
Sum of contribution of events > t,-5,-0.06926174461841583,106296
Sum of contribution of events ≤ t,-5,-0.4195925444364548,106296
Sum of contribution of events > t,-6,-0.12153704464435577,106296
Sum of contribution of events ≤ t,-6,-0.36731724441051483,106296
Sum of contribution of events > t,-7,-0.1806427240371704,106296
Sum of contribution of events ≤ t,-7,-0.3082115650177002,106296
Sum of contribution of events > t,-8,-0.24989263713359833,106296
Sum of contribution of events ≤ t,-8,-0.23896165192127228,106296
Sum of contribution of events > t,-9,-0.4888542890548706,106296
Sum of contribution of events ≤ t,-9,0.0,106296
Sum of contribution of events > t,0,0.0,108923
Sum of contribution of events ≤ t,0,0.5492259860038757,108923
Sum of contribution of events > t,-1,-0.0007263123989105225,108923
Sum of contribution of events ≤ t,-1,0.5499522984027863,108923
Sum of contribution of events > t,-2,0.02532958984375,108923
Sum of contribution of events ≤ t,-2,0.5238963961601257,108923
Sum of contribution of events > t,-3,0.04679347574710846,108923
Sum of contribution of events ≤ t,-3,0.5024325102567673,108923
Sum of contribution of events > t,-4,0.5492259860038757,108923
Sum of contribution of events ≤ t,-4,0.0,108923
Sum of contribution of events > t,0,-2.9802322387695312e-08,167615
Sum of contribution of events ≤ t,0,0.27546340227127075,167615
Sum of contribution of events > t,-1,4.982948303222656e-05,167615
Sum of contribution of events ≤ t,-1,0.27541354298591614,167615
Sum of contribution of events > t,-2,0.27546340227127075,167615
Sum of contribution of events ≤ t,-2,-2.9802322387695312e-08,167615
Sum of contribution of events > t,0,0.0,116367
Sum of contribution of events ≤ t,0,0.5262926816940308,116367
Sum of contribution of events > t,-1,-0.020873859524726868,116367
Sum of contribution of events ≤ t,-1,0.5471665412187576,116367
Sum of contribution of events > t,-2,0.2321050465106964,116367
Sum of contribution of events ≤ t,-2,0.29418763518333435,116367
Sum of contribution of events > t,-3,0.20635154843330383,116367
Sum of contribution of events ≤ t,-3,0.31994113326072693,116367
Sum of contribution of events > t,-4,0.5262926816940308,116367
Sum of contribution of events ≤ t,-4,0.0,116367
Sum of contribution of events > t,0,0.0,145576
Sum of contribution of events ≤ t,0,0.20876449346542358,145576
Sum of contribution of events > t,-1,-0.005387544631958008,145576
Sum of contribution of events ≤ t,-1,0.2141520380973816,145576
Sum of contribution of events > t,-2,-0.03901246190071106,145576
Sum of contribution of events ≤ t,-2,0.24777695536613464,145576
Sum of contribution of events > t,-3,-0.05021056532859802,145576
Sum of contribution of events ≤ t,-3,0.2589750587940216,145576
Sum of contribution of events > t,-4,-0.05491781234741211,145576
Sum of contribution of events ≤ t,-4,0.2636823058128357,145576
Sum of contribution of events > t,-5,-0.055896371603012085,145576
Sum of contribution of events ≤ t,-5,0.26466086506843567,145576
Sum of contribution of events > t,-6,-0.05358254909515381,145576
Sum of contribution of events ≤ t,-6,0.2623470425605774,145576
Sum of contribution of events > t,-7,-0.03210633993148804,145576
Sum of contribution of events ≤ t,-7,0.24087083339691162,145576
Sum of contribution of events > t,-8,0.20876449346542358,145576
Sum of contribution of events ≤ t,-8,0.0,145576
Sum of contribution of events > t,0,0.0,149601
Sum of contribution of events ≤ t,0,0.2532746195793152,149601
Sum of contribution of events > t,-1,0.2532746195793152,149601
Sum of contribution of events ≤ t,-1,0.0,149601
Sum of contribution of events > t,0,0.0,167213
Sum of contribution of events ≤ t,0,0.1576228141784668,167213
Sum of contribution of events > t,-1,0.048360466957092285,167213
Sum of contribution of events ≤ t,-1,0.10926234722137451,167213
Sum of contribution of events > t,-2,0.027229249477386475,167213
Sum of contribution of events ≤ t,-2,0.13039356470108032,167213
Sum of contribution of events > t,-3,-0.0009383261203765869,167213
Sum of contribution of events ≤ t,-3,0.15856114029884338,167213
Sum of contribution of events > t,-4,0.061425983905792236,167213
Sum of contribution of events ≤ t,-4,0.09619683027267456,167213
Sum of contribution of events > t,-5,0.049866288900375366,167213
Sum of contribution of events ≤ t,-5,0.10775652527809143,167213
Sum of contribution of events > t,-6,0.015115916728973389,167213
Sum of contribution of events ≤ t,-6,0.1425068974494934,167213
Sum of contribution of events > t,-7,0.007817715406417847,167213
Sum of contribution of events ≤ t,-7,0.14980509877204895,167213
Sum of contribution of events > t,-8,0.0013297498226165771,167213
Sum of contribution of events ≤ t,-8,0.15629306435585022,167213
Sum of contribution of events > t,-9,0.1576228141784668,167213
Sum of contribution of events ≤ t,-9,0.0,167213
Sum of contribution of events > t,0,0.0,133648
Sum of contribution of events ≤ t,0,0.22034835815429688,133648
Sum of contribution of events > t,-1,-0.05924920737743378,133648
Sum of contribution of events ≤ t,-1,0.27959756553173065,133648
Sum of contribution of events > t,-2,-0.0853339210152626,133648
Sum of contribution of events ≤ t,-2,0.3056822791695595,133648
Sum of contribution of events > t,-3,-0.10918264091014862,133648
Sum of contribution of events ≤ t,-3,0.3295309990644455,133648
Sum of contribution of events > t,-4,0.22034835815429688,133648
Sum of contribution of events ≤ t,-4,0.0,133648
Sum of contribution of events > t,0,0.0,135389
Sum of contribution of events ≤ t,0,0.19929111003875732,135389
Sum of contribution of events > t,-1,-0.0095730721950531,135389
Sum of contribution of events ≤ t,-1,0.20886418223381042,135389
Sum of contribution of events > t,-2,0.19929111003875732,135389
Sum of contribution of events ≤ t,-2,0.0,135389
Sum of contribution of events > t,0,0.0,163526
Sum of contribution of events ≤ t,0,0.4059056043624878,163526
Sum of contribution of events > t,-1,-0.04529909789562225,163526
Sum of contribution of events ≤ t,-1,0.45120470225811005,163526
Sum of contribution of events > t,-2,-0.12029802799224854,163526
Sum of contribution of events ≤ t,-2,0.5262036323547363,163526
Sum of contribution of events > t,-3,0.15330225229263306,163526
Sum of contribution of events ≤ t,-3,0.25260335206985474,163526
Sum of contribution of events > t,-4,0.15193802118301392,163526
Sum of contribution of events ≤ t,-4,0.2539675831794739,163526
Sum of contribution of events > t,-5,0.2082100808620453,163526
Sum of contribution of events ≤ t,-5,0.1976955235004425,163526
Sum of contribution of events > t,-6,0.4059056043624878,163526
Sum of contribution of events ≤ t,-6,0.0,163526
Sum of contribution of events > t,0,0.0,187764
Sum of contribution of events ≤ t,0,-0.0658515989780426,187764
Sum of contribution of events > t,-1,0.0099349245429039,187764
Sum of contribution of events ≤ t,-1,-0.0757865235209465,187764
Sum of contribution of events > t,-2,-0.0658515989780426,187764
Sum of contribution of events ≤ t,-2,0.0,187764
Sum of contribution of events > t,0,0.0,141600
Sum of contribution of events ≤ t,0,0.4884089231491089,141600
Sum of contribution of events > t,-1,-0.0030981749296188354,141600
