ICD9_CODE,SHORT_TITLE,Count
"""0389""","""Septicemia NOS""",719
"""4019""","""Hypertension NOS""",408
"""4280""","""CHF NOS""",354
"""5990""","""Urin tract infection NOS""",338
"""42731""","""Atrial fibrillation""",322
"""5849""","""Acute kidney failure NOS""",296
"""25000""","""DMII wo cmp nt st uncntr""",218
"""486""","""Pneumonia, organism NOS""",215
"""2724""","""Hyperlipidemia NEC/NOS""",212
"""2859""","""Anemia NOS""",192
"""51881""","""Acute respiratry failure""",191
"""2762""","""Acidosis""",186
"""2449""","""Hypothyroidism NOS""",163
"""41401""","""Crnry athrscl natve vssl""",162
"""53081""","""Esophageal reflux""",158
"""5070""","""Food/vomit pneumonitis""",144
"""40391""","""Hyp kid NOS w cr kid V""",136
"""2761""","""Hyposmolality""",131
"""5119""","""Pleural effusion NOS""",122
"""2875""","""Thrombocytopenia NOS""",121
"""5856""","""End stage renal disease""",118
"""V5861""","""Long-term use anticoagul""",117
"""311""","""Depressive disorder NEC""",114
"""03842""","""E coli septicemia""",112
"""496""","""Chr airway obstruct NEC""",112
"""99662""","""React-oth vasc dev/graft""",107
"""2851""","""Ac posthemorrhag anemia""",105
"""03811""","""Meth susc Staph aur sept""",103
"""70703""","""Pressure ulcer, low back""",99
"""2720""","""Pure hypercholesterolem""",98
"""V4581""","""Aortocoronary bypass""",98
"""0380""","""Streptococcal septicemia""",96
"""99859""","""Other postop infection""",95
"""E8798""","""Abn react-procedure NEC""",95
"""00845""","""Int inf clstrdium dfcile""",92
"""5859""","""Chronic kidney dis NOS""",91
"""40390""","""Hy kid NOS w cr kid I-IV""",89
"""5180""","""Pulmonary collapse""",87
"""V4986""","""Do not resusctate status""",85
"""27651""","""Dehydration""",85
"""V5867""","""Long-term use of insulin""",82
"""2760""","""Hyperosmolality""",78
"""5845""","""Ac kidny fail, tubr necr""",78
"""412""","""Old myocardial infarct""",78
"""4589""","""Hypotension NOS""",77
"""78791""","""Diarrhea""",76
"""V1251""","""Hx-ven thrombosis/embols""",76
"""V1582""","""History of tobacco use""",74
"""5761""","""Cholangitis""",74
"""73300""","""Osteoporosis NOS""",73
"""3051""","""Tobacco use disorder""",72
"""2767""","""Hyperpotassemia""",72
"""2768""","""Hypopotassemia""",72
"""42789""","""Cardiac dysrhythmias NEC""",71
"""03849""","""Gram-neg septicemia NEC""",71
"""2749""","""Gout NOS""",68
"""28521""","""Anemia in chr kidney dis""",67
"""28529""","""Anemia-other chronic dis""",66
"""3572""","""Neuropathy in diabetes""",64
"""4240""","""Mitral valve disorder""",62
"""79902""","""Hypoxemia""",61
"""V4582""","""Status-post ptca""",59
"""2930""","""Delirium d/t other cond""",58
"""E8497""","""Accid in resident instit""",57
"""2639""","""Protein-cal malnutr NOS""",57
"""32723""","""Obstructive sleep apnea""",56
"""78959""","""Ascites NEC""",55
"""41071""","""Subendo infarct, initial""",55
