ICD9_CODE,SHORT_TITLE,Count
"""78552""","""Septic shock""",2413
"""0389""","""Septicemia NOS""",2385
"""5849""","""Acute kidney failure NOS""",1810
"""51881""","""Acute respiratry failure""",1772
"""4280""","""CHF NOS""",1391
"""4019""","""Hypertension NOS""",1343
"""42731""","""Atrial fibrillation""",1283
"""5990""","""Urin tract infection NOS""",991
"""2762""","""Acidosis""",982
"""25000""","""DMII wo cmp nt st uncntr""",852
"""486""","""Pneumonia, organism NOS""",765
"""5845""","""Ac kidny fail, tubr necr""",733
"""2859""","""Anemia NOS""",635
"""5070""","""Food/vomit pneumonitis""",629
"""2875""","""Thrombocytopenia NOS""",614
"""2724""","""Hyperlipidemia NEC/NOS""",579
"""41401""","""Crnry athrscl natve vssl""",572
"""2760""","""Hyperosmolality""",500
"""2449""","""Hypothyroidism NOS""",493
"""2761""","""Hyposmolality""",455
"""496""","""Chr airway obstruct NEC""",429
"""5859""","""Chronic kidney dis NOS""",424
"""53081""","""Esophageal reflux""",417
"""00845""","""Int inf clstrdium dfcile""",381
"""70703""","""Pressure ulcer, low back""",380
"""5119""","""Pleural effusion NOS""",377
"""570""","""Acute necrosis of liver""",372
"""40390""","""Hy kid NOS w cr kid I-IV""",370
"""V5861""","""Long-term use anticoagul""",353
"""40391""","""Hyp kid NOS w cr kid V""",341
"""2767""","""Hyperpotassemia""",322
"""2851""","""Ac posthemorrhag anemia""",319
"""41071""","""Subendo infarct, initial""",302
"""311""","""Depressive disorder NEC""",299
"""03842""","""E coli septicemia""",293
"""V4581""","""Aortocoronary bypass""",287
"""V4986""","""Do not resusctate status""",286
"""2869""","""Coagulat defect NEC/NOS""",286
"""V5867""","""Long-term use of insulin""",284
"""03811""","""Meth susc Staph aur sept""",278
"""5856""","""End stage renal disease""",263
"""2720""","""Pure hypercholesterolem""",255
"""99859""","""Other postop infection""",239
"""2930""","""Delirium d/t other cond""",235
"""03849""","""Gram-neg septicemia NEC""",235
"""78959""","""Ascites NEC""",234
"""412""","""Old myocardial infarct""",231
"""2639""","""Protein-cal malnutr NOS""",225
"""3051""","""Tobacco use disorder""",218
"""E8798""","""Abn react-procedure NEC""",217
"""0380""","""Streptococcal septicemia""",214
"""5761""","""Cholangitis""",210
"""42789""","""Cardiac dysrhythmias NEC""",207
"""5601""","""Paralytic ileus""",206
"""28529""","""Anemia-other chronic dis""",204
"""99662""","""React-oth vasc dev/graft""",204
"""V667""","""Encountr palliative care""",204
"""2768""","""Hypopotassemia""",204
"""V1251""","""Hx-ven thrombosis/embols""",204
"""5715""","""Cirrhosis of liver NOS""",204
"""78551""","""Cardiogenic shock""",203
"""5180""","""Pulmonary collapse""",202
"""V1582""","""History of tobacco use""",200
"""27652""","""Hypovolemia""",200
"""2866""","""Defibrination syndrome""",196
"""32723""","""Obstructive sleep apnea""",193
"""V4582""","""Status-post ptca""",192
"""5770""","""Acute pancreatitis""",190
"""27651""","""Dehydration""",189
"""2749""","""Gout NOS""",187
"""4168""","""Chr pulmon heart dis NEC""",185
"""78791""","""Diarrhea""",178
"""2948""","""Mental disor NEC oth dis""",173
"""4275""","""Cardiac arrest""",173
"""4271""","""Parox ventric tachycard""",172
"""5712""","""Alcohol cirrhosis liver""",171
"""28521""","""Anemia in chr kidney dis""",168
"""V4501""","""Status cardiac pacemaker""",167
"""5789""","""Gastrointest hemorr NOS""",166
"""73300""","""Osteoporosis NOS""",165
"""4240""","""Mitral valve disorder""",160
"""48241""","""Meth sus pneum d/t Staph""",158
"""4254""","""Prim cardiomyopathy NEC""",155
"""6826""","""Cellulitis of leg""",155
"""V090""","""Inf mcrg rstn pncllins""",154
"""27801""","""Morbid obesity""",150
"""2763""","""Alkalosis""",149
"""34982""","""Toxic encephalopathy""",149
"""42832""","""Chr diastolic hrt fail""",148
"""42823""","""Ac on chr syst hrt fail""",147
"""3572""","""Neuropathy in diabetes""",144
"""51884""","""Acute & chronc resp fail""",144
"""V5865""","""Long-term use steroids""",140
"""49390""","""Asthma NOS""",140
"""42732""","""Atrial flutter""",138
"""79902""","""Hypoxemia""",135
"""2764""","""Mixed acid-base bal dis""",135
"""5722""","""Hepatic encephalopathy""",134
"""4439""","""Periph vascular dis NOS""",134
"""5723""","""Portal hypertension""",134
"""2867""","""Acq coagul factor defic""",133
"""41400""","""Cor ath unsp vsl ntv/gft""",133
"""5570""","""Ac vasc insuff intestine""",133
"""99731""","""Ventltr assoc pneumonia""",132
"""60000""","""BPH w/o urinary obs/LUTS""",128
"""70722""","""Pressure ulcer, stage II""",127
"""42822""","""Chr systolic hrt failure""",125
"""0388""","""Septicemia NEC""",120
"""2809""","""Iron defic anemia NOS""",119
"""25060""","""DMII neuro nt st uncntrl""",117
"""E8788""","""Abn react-surg proc NEC""",117
"""5724""","""Hepatorenal syndrome""",116
"""42833""","""Ac on chr diast hrt fail""",116
"""1977""","""Second malig neo liver""",116
"""07054""","""Chrnc hpt C wo hpat coma""",115
"""4821""","""Pseudomonal pneumonia""",114
"""78039""","""Convulsions NEC""",114
"""6930""","""Drug dermatitis NOS""",113
"""4241""","""Aortic valve disorder""",112
"""79092""","""Abnrml coagultion prfile""",107
"""V441""","""Gastrostomy status""",106
"""99931""","""Oth/uns inf-cen ven cath""",105
"""V440""","""Tracheostomy status""",104
