#,LABEL,FLUID,ref1,ref2,chatgpt,neo4j,Abnormal_Count,Sepsis_abnormal,Sepsis_proportion,Admission_proportion,Sepsis_admission_proportion
51279,RED BLOOD CELLS,BLOOD,no,no,no,yes,48216,5109,0.11,0.95,0.99
50931,GLUCOSE,BLOOD,no,yes,no,yes,48199,5108,0.11,0.95,0.99
51221,HEMATOCRIT,BLOOD,yes,no,no,yes,47818,5094,0.11,0.94,0.98
51222,HEMOGLOBIN,BLOOD,yes,no,yes,yes,47649,5114,0.11,0.94,0.99
51301,WHITE BLOOD CELLS ,BLOOD,no,no,yes,yes,38975,4824,0.12,0.77,0.93
51274,PT,BLOOD,no,no,yes,yes,37101,4703,0.13,0.73,0.91
51006,UREA NITROGEN,BLOOD,no,no,yes,yes,36360,4663,0.13,0.72,0.90
50970,PHOSPHATE,BLOOD,yes,no,no,yes,36346,4831,0.13,0.72,0.93
50893,"CALCIUM, TOTAL",BLOOD,yes,yes,no,yes,35736,4868,0.14,0.70,0.94
50902,CHLORIDE,BLOOD,yes,no,no,yes,33406,4406,0.13,0.66,0.85
51256,NEUTROPHILS,BLOOD,no,yes,yes,yes,32517,4827,0.15,0.64,0.93
50882,BICARBONATE,BLOOD,yes,no,yes,yes,31117,4486,0.14,0.61,0.87
51244,LYMPHOCYTES,BLOOD,no,yes,no,yes,30281,4811,0.16,0.60,0.93
50821,pO2,BLOOD,no,no,yes,yes,29170,4080,0.14,0.57,0.79
51249,MCHC,BLOOD,no,no,no,yes,28638,3067,0.11,0.56,0.59
51275,PTT,BLOOD,no,no,yes,yes,28371,3815,0.13,0.56,0.74
51265,PLATELET COUNT,BLOOD,yes,yes,yes,yes,28256,3815,0.14,0.56,0.74
50820,PH,BLOOD,yes,no,no,yes,25432,3761,0.15,0.50,0.73
50818,PCO2,BLOOD,yes,no,no,yes,25203,3734,0.15,0.50,0.72
50912,CREATININE,BLOOD,yes,yes,yes,yes,25175,4154,0.17,0.50,0.80
51237,INR(PT),BLOOD,no,no,yes,yes,25035,3847,0.15,0.49,0.74
50809,GLUCOSE,BLOOD,no,yes,no,yes,24322,2296,0.09,0.48,0.44
50971,POTASSIUM,BLOOD,yes,no,no,yes,24032,3554,0.15,0.47,0.69
50808,FREE CALCIUM,BLOOD,yes,yes,no,no,22384,2724,0.12,0.44,0.53
51248,MCH,BLOOD,no,no,no,yes,22087,2660,0.12,0.44,0.51
51277,RDW,BLOOD,no,no,no,yes,21999,3656,0.17,0.43,0.71
50862,ALBUMIN,BLOOD,no,yes,yes,yes,21439,4084,0.19,0.42,0.79
50811,HEMOGLOBIN,BLOOD,yes,no,yes,no,21225,1948,0.09,0.42,0.38
50983,SODIUM,BLOOD,no,no,yes,yes,20833,3306,0.16,0.41,0.64
50960,MAGNESIUM,BLOOD,yes,no,no,yes,19949,3096,0.16,0.39,0.60
50813,LACTATE,BLOOD,no,yes,yes,yes,19915,3584,0.18,0.39,0.69
51493,RBC,URINE,no,no,no,yes,18244,3187,0.17,0.36,0.62
50804,CALCULATED TOTAL CO2,BLOOD,no,no,yes,yes,17489,3252,0.19,0.34,0.63
50910,CREATINE KINASE (CK),BLOOD,no,no,no,yes,16940,2542,0.15,0.33,0.49
50878,ASPARATE AMINOTRANSFERASE (AST),BLOOD,no,yes,yes,yes,16150,2994,0.19,0.32,0.58
51003,TROPONIN T,BLOOD,no,no,yes,yes,14638,2729,0.19,0.29,0.53
50822,"POTASSIUM, WHOLE BLOOD",BLOOD,yes,no,no,no,14483,1505,0.10,0.29,0.29
50954,LACTATE DEHYDROGENASE (LD),BLOOD,no,yes,yes,yes,13578,2675,0.20,0.27,0.52
50868,ANION GAP,BLOOD,no,yes,no,yes,13525,2509,0.19,0.27,0.48
51250,MCV,BLOOD,no,no,no,yes,13498,2060,0.15,0.27,0.40
50863,ALKALINE PHOSPHATASE,BLOOD,no,yes,no,yes,13148,2817,0.21,0.26,0.54
50861,ALANINE AMINOTRANSFERASE (ALT),BLOOD,no,no,yes,yes,12693,2379,0.19,0.25,0.46
51516,WBC,URINE,no,no,yes,yes,11374,2318,0.20,0.22,0.45
51254,MONOCYTES,BLOOD,no,yes,no,no,8216,2014,0.25,0.16,0.39
50806,"CHLORIDE, WHOLE BLOOD",BLOOD,yes,no,no,no,7271,940,0.13,0.14,0.18
50885,"BILIRUBIN, TOTAL",BLOOD,no,yes,yes,yes,6995,1698,0.24,0.14,0.33
51144,BANDS,BLOOD,no,yes,no,yes,5309,1966,0.37,0.10,0.38
50924,FERRITIN,BLOOD,no,no,yes,no,5010,1160,0.23,0.10,0.22
51143,ATYPICAL LYMPHOCYTES,BLOOD,no,yes,no,no,4311,1404,0.33,0.08,0.27
50852,% HEMOGLOBIN A1C,BLOOD,yes,no,yes,no,3632,213,0.06,0.07,0.04
50803,"CALCULATED BICARBONATE, WHOLE BLOOD",BLOOD,yes,no,yes,no,2318,392,0.17,0.05,0.08
50889,C-REACTIVE PROTEIN,BLOOD,no,no,yes,no,2288,710,0.31,0.05,0.14
51196,D-DIMER,BLOOD,no,no,yes,no,1497,502,0.34,0.03,0.10
51002,TROPONIN I,BLOOD,no,no,yes,no,1385,3,0.00,0.03,0.00
51116,LYMPHOCYTES,ASCITES,no,no,no,no,1071,348,0.32,0.02,0.07
50915,D-DIMER,BLOOD,no,no,yes,no,586,198,0.34,0.01,0.04
51245,"LYMPHOCYTES, PERCENT",BLOOD,no,yes,no,no,270,70,0.26,0.01,0.01
51300,WBC COUNT,BLOOD,yes,yes,yes,no,211,49,0.23,0.00,0.01
51223,HEMOGLOBIN A2,BLOOD,yes,no,yes,no,23,5,0.22,0.00,0.00
51529,ESTIMATED ACTUAL GLUCOSE,BLOOD,no,yes,no,no,8,1,0.13,0.00,0.00
51225,HEMOGLOBIN F,BLOOD,yes,no,yes,no,6,1,0.17,0.00,0.00
