ITEMID,LABEL,ref1,ref2,ref3,neo4j,All yes,Abnormal_Count,Sepsis_abnormal_count,Sepsis_Proportion,Admission_proportion,Sepsis_admission_proportion
51222,HEMOGLOBIN,yes,no,yes,yes,,52821,5116,0.10,0.90,0.99
51279,Red Blood Cells,no,no,no,yes,,50487,5113,0.10,0.86,0.99
50931,GLUCOSE,no,yes,no,yes,,48493,5110,0.11,0.82,0.99
51221,HEMATOCRIT,yes,no,no,yes,,51779,5097,0.10,0.88,0.98
50893,"CALCIUM, TOTAL",yes,yes,no,yes,,36137,4869,0.13,0.61,0.94
50970,PHOSPHATE,yes,no,no,yes,,36863,4833,0.13,0.63,0.93
51256,NEUTROPHILS,no,yes,yes,yes,,37926,4831,0.13,0.64,0.93
51301,White Blood Cells,no,no,no,yes,,41550,4825,0.12,0.70,0.93
51244,LYMPHOCYTES,no,yes,no,yes,,35215,4814,0.14,0.60,0.93
51274,PT,no,no,no,yes,,37308,4703,0.13,0.63,0.91
51006,Urea Nitrogen,no,no,no,yes,,36818,4664,0.13,0.62,0.90
50882,BICARBONATE,yes,no,yes,yes,,33037,4488,0.14,0.56,0.87
50902,CHLORIDE,yes,no,no,yes,,34954,4409,0.13,0.59,0.85
50912,CREATININE,yes,yes,yes,yes,yes,25553,4154,0.16,0.43,0.80
50862,ALBUMIN,no,yes,yes,yes,,21664,4085,0.19,0.37,0.79
50821,pO2,no,no,no,yes,,30716,4082,0.13,0.52,0.79
51237,INR(PT),no,no,yes,yes,,25133,3847,0.15,0.43,0.74
51265,PLATELET COUNT,yes,yes,yes,yes,yes,29370,3817,0.13,0.50,0.74
51275,PTT,no,no,yes,yes,,28550,3815,0.13,0.48,0.74
50820,PH,yes,no,no,yes,,26764,3763,0.14,0.45,0.73
50818,PCO2,yes,no,no,yes,,26532,3736,0.14,0.45,0.72
51277,RDW,no,no,no,yes,,28286,3661,0.13,0.48,0.71
50813,LACTATE,no,yes,yes,yes,,19997,3584,0.18,0.34,0.69
50971,POTASSIUM,yes,no,no,no,,25830,3557,0.14,0.44,0.69
50983,Sodium,no,no,no,yes,,21868,3307,0.15,0.37,0.64
50804,Calculated Total CO2,no,no,no,yes,,18197,3253,0.18,0.31,0.63
51493,RBC,no,no,no,yes,,18316,3187,0.17,0.31,0.62
50960,MAGNESIUM,yes,no,no,no,,20197,3096,0.15,0.34,0.60
51249,,,,,,,29647,3068,0.10,0.50,0.59
50878,ASPARATE AMINOTRANSFERASE (AST),no,yes,yes,yes,,16360,2996,0.18,0.28,0.58
50863,ALKALINE PHOSPHATASE,no,yes,no,yes,,13504,2820,0.21,0.23,0.54
51003,TROPONIN T,no,no,yes,yes,,14643,2729,0.19,0.25,0.53
50808,FREE CALCIUM,yes,yes,no,no,,22593,2725,0.12,0.38,0.53
50954,LACTATE DEHYDROGENASE (LD),no,yes,yes,no,,13603,2675,0.20,0.23,0.52
51248,MCH,no,no,no,yes,,28775,2663,0.09,0.49,0.51
51009,,,,,,,9490,2607,0.27,0.16,0.50
50910,,,,,,,16973,2542,0.15,0.29,0.49
50868,ANION GAP,no,yes,no,no,,14443,2510,0.17,0.24,0.48
50861,ALANINE AMINOTRANSFERASE (ALT),no,no,yes,no,,12777,2381,0.19,0.22,0.46
51516,,,,,,,11403,2318,0.20,0.19,0.45
50809,GLUCOSE,no,yes,no,no,,24478,2296,0.09,0.42,0.44
51250,,,,,,,18994,2063,0.11,0.32,0.40
51254,MONOCYTES,no,yes,no,no,,8920,2015,0.23,0.15,0.39
51251,,,,,,,6547,2010,0.31,0.11,0.39
51144,BANDS,no,yes,no,no,,5695,1966,0.35,0.10,0.38
50811,HEMOGLOBIN,yes,no,yes,no,,21414,1949,0.09,0.36,0.38
50909,,,,,,,4250,1786,0.42,0.07,0.34
51214,,,,,,,8174,1744,0.21,0.14,0.34
50885,"BILIRUBIN, TOTAL",no,yes,yes,no,,11367,1701,0.15,0.19,0.33
50998,,,,,,,6554,1513,0.23,0.11,0.29
50822,"POTASSIUM, WHOLE BLOOD",yes,no,no,no,,14555,1505,0.10,0.25,0.29
50953,,,,,,,6425,1469,0.23,0.11,0.28
51482,,,,,,,6889,1438,0.21,0.12,0.28
51143,ATYPICAL LYMPHOCYTES,no,yes,no,no,,6458,1406,0.22,0.11,0.27
51255,,,,,,,4375,1376,0.31,0.07,0.27
50924,FERRITIN,no,no,yes,no,,5018,1160,0.23,0.09,0.22
50956,,,,,,,5820,1146,0.20,0.10,0.22
50952,,,,,,,5214,1081,0.21,0.09,0.21
50883,,,,,,,6321,1072,0.17,0.11,0.21
51257,,,,,,,6941,990,0.14,0.12,0.19
50824,,,,,,,8448,984,0.12,0.14,0.19
50935,,,,,,,3406,950,0.28,0.06,0.18
50867,,,,,,,4834,945,0.20,0.08,0.18
50806,"CHLORIDE, WHOLE BLOOD",yes,no,no,no,,7305,940,0.13,0.12,0.18
51514,,,,,,,5323,900,0.17,0.09,0.17
51200,,,,,,,6553,843,0.13,0.11,0.16
50911,,,,,,,6746,827,0.12,0.11,0.16
51479,,,,,,,2744,813,0.30,0.05,0.16
50889,C-REACTIVE PROTEIN,no,no,yes,no,,2294,710,0.31,0.04,0.14
50963,,,,,,,3772,646,0.17,0.06,0.12
50993,,,,,,,3360,586,0.17,0.06,0.11
50976,,,,,,,2529,528,0.21,0.04,0.10
51283,,,,,,,2478,525,0.21,0.04,0.10
51288,,,,,,,2231,513,0.23,0.04,0.10
51000,,,,,,,3210,511,0.16,0.05,0.10
51196,D-DIMER,no,no,yes,no,,1508,502,0.33,0.03,0.10
51010,,,,,,,2155,444,0.21,0.04,0.09
51099,,,,,,,1895,435,0.23,0.03,0.08
51213,,,,,,,956,414,0.43,0.02,0.08
50803,"CALCULATED BICARBONATE, WHOLE BLOOD",yes,no,yes,no,,2342,392,0.17,0.04,0.08
51128,,,,,,,1144,378,0.33,0.02,0.07
51436,,,,,,,1243,374,0.30,0.02,0.07
50908,,,,,,,3767,373,0.10,0.06,0.07
51127,,,,,,,1104,370,0.34,0.02,0.07
51458,,,,,,,1384,369,0.27,0.02,0.07
51125,,,,,,,1080,363,0.34,0.02,0.07
51455,,,,,,,1327,359,0.27,0.02,0.07
51446,,,,,,,1313,352,0.27,0.02,0.07
51116,,,,,,,1077,348,0.32,0.02,0.07
51007,,,,,,,1873,343,0.18,0.03,0.07
51457,,,,,,,1278,338,0.26,0.02,0.07
50964,,,,,,,2489,331,0.13,0.04,0.06
51427,,,,,,,1144,330,0.29,0.02,0.06
51218,,,,,,,1061,305,0.29,0.02,0.06
51120,,,,,,,880,299,0.34,0.01,0.06
50929,,,,,,,1586,293,0.18,0.03,0.06
51269,,,,,,,908,286,0.31,0.02,0.06
50917,,,,,,,1783,280,0.16,0.03,0.05
51117,,,,,,,833,265,0.32,0.01,0.05
51450,,,,,,,990,260,0.26,0.02,0.05
51431,,,,,,,889,260,0.29,0.02,0.05
51498,,,,,,,2146,252,0.12,0.04,0.05
50927,,,,,,,943,249,0.26,0.02,0.05
51428,,,,,,,786,248,0.32,0.01,0.05
51447,,,,,,,877,242,0.28,0.01,0.05
51118,,,,,,,767,239,0.31,0.01,0.05
51362,,,,,,,1822,235,0.13,0.03,0.05
50866,,,,,,,946,232,0.25,0.02,0.04
50995,,,,,,,947,230,0.24,0.02,0.04
51448,,,,,,,872,228,0.26,0.01,0.04
50852,% HEMOGLOBIN A1C,yes,no,yes,no,,3632,213,0.06,0.06,0.04
50967,,,,,,,3242,210,0.06,0.05,0.04
50965,,,,,,,1013,206,0.20,0.02,0.04
50915,D-DIMER,no,no,yes,no,,587,198,0.34,0.01,0.04
50950,,,,,,,698,175,0.25,0.01,0.03
51001,,,,,,,836,173,0.21,0.01,0.03
51491,,,,,,,951,152,0.16,0.02,0.03
51018,,,,,,,1643,140,0.09,0.03,0.03
50997,,,,,,,285,134,0.47,0.00,0.03
51434,,,,,,,395,128,0.32,0.01,0.02
51284,,,,,,,1062,121,0.11,0.02,0.02
50994,,,,,,,470,121,0.26,0.01,0.02
51419,,,,,,,420,121,0.29,0.01,0.02
51439,,,,,,,561,114,0.20,0.01,0.02
50986,,,,,,,696,113,0.16,0.01,0.02
51438,,,,,,,407,109,0.27,0.01,0.02
51259,,,,,,,457,107,0.23,0.01,0.02
51444,,,,,,,421,106,0.25,0.01,0.02
51429,,,,,,,304,95,0.31,0.01,0.02
50951,,,,,,,375,94,0.25,0.01,0.02
50949,,,,,,,380,92,0.24,0.01,0.02
51146,,,,,,,491,89,0.18,0.01,0.02
51114,,,,,,,269,89,0.33,0.00,0.02
50930,,,,,,,331,82,0.25,0.01,0.02
51382,,,,,,,253,81,0.32,0.00,0.02
51453,,,,,,,362,79,0.22,0.01,0.02
51383,,,,,,,251,78,0.31,0.00,0.02
51384,,,,,,,255,77,0.30,0.00,0.01
51123,,,,,,,220,75,0.34,0.00,0.01
51148,,,,,,,258,74,0.29,0.00,0.01
50890,,,,,,,288,72,0.25,0.00,0.01
51181,,,,,,,290,71,0.24,0.00,0.01
51245,"LYMPHOCYTES, PERCENT",no,yes,no,no,,270,70,0.26,0.00,0.01
51263,,,,,,,198,70,0.35,0.00,0.01
51131,,,,,,,325,67,0.21,0.01,0.01
51297,,,,,,,292,61,0.21,0.00,0.01
51008,,,,,,,471,59,0.13,0.01,0.01
51232,,,,,,,151,56,0.37,0.00,0.01
50900,,,,,,,317,55,0.17,0.01,0.01
50914,,,,,,,308,54,0.18,0.01,0.01
51132,,,,,,,200,54,0.27,0.00,0.01
51070,,,,,,,341,50,0.15,0.01,0.01
51300,WBC COUNT,yes,yes,yes,no,,211,49,0.23,0.00,0.01
51130,,,,,,,191,49,0.26,0.00,0.01
51445,,,,,,,166,46,0.28,0.00,0.01
50969,,,,,,,235,44,0.19,0.00,0.01
50922,,,,,,,1670,40,0.02,0.03,0.01
50907,,,,,,,1093,36,0.03,0.02,0.01
50968,,,,,,,210,35,0.17,0.00,0.01
50891,,,,,,,189,35,0.19,0.00,0.01
51471,,,,,,,102,35,0.34,0.00,0.01
51111,,,,,,,73,35,0.48,0.00,0.01
51110,,,,,,,91,32,0.35,0.00,0.01
50856,,,,,,,229,30,0.13,0.00,0.01
51422,,,,,,,207,30,0.14,0.00,0.01
50892,,,,,,,124,30,0.24,0.00,0.01
51115,,,,,,,105,30,0.29,0.00,0.01
51517,,,,,,,66,29,0.44,0.00,0.01
51441,,,,,,,72,28,0.39,0.00,0.01
51440,,,,,,,88,26,0.30,0.00,0.01
50978,,,,,,,111,25,0.23,0.00,0.00
51507,,,,,,,104,25,0.24,0.00,0.00
51386,,,,,,,81,25,0.31,0.00,0.00
50896,,,,,,,93,24,0.26,0.00,0.00
50980,,,,,,,127,22,0.17,0.00,0.00
51454,,,,,,,59,21,0.36,0.00,0.00
50973,,,,,,,78,20,0.26,0.00,0.00
50966,,,,,,,135,19,0.14,0.00,0.00
50905,,,,,,,726,18,0.02,0.01,0.00
51124,,,,,,,47,18,0.38,0.00,0.00
50864,,,,,,,149,17,0.11,0.00,0.00
50853,,,,,,,55,17,0.31,0.00,0.00
51369,,,,,,,43,16,0.37,0.00,0.00
51080,,,,,,,55,15,0.27,0.00,0.00
50974,,,,,,,137,14,0.10,0.00,0.00
50881,,,,,,,87,14,0.16,0.00,0.00
51276,,,,,,,60,14,0.23,0.00,0.00
51385,,,,,,,39,14,0.36,0.00,0.00
51515,,,,,,,29,14,0.48,0.00,0.00
50899,,,,,,,112,13,0.12,0.00,0.00
