ITEMID,LABEL,FLUID,ref1,ref2,chatgpt,neo4j,Abnormal_Count,Sepsis_abnormal,Sepsis_proportion,Admission_proportion,Sepsis_admission_proportion
51279,RED BLOOD CELLS,BLOOD,no,no,no,yes,48216,5109,11%,95%,99%
50931,GLUCOSE,BLOOD,no,yes,no,yes,48199,5108,11%,95%,99%
51222,HEMOGLOBIN,BLOOD,yes,no,yes,yes,47649,5114,11%,94%,99%
51221,HEMATOCRIT,BLOOD,yes,no,no,yes,47818,5094,11%,94%,98%
51301,WHITE BLOOD CELLS ,BLOOD,no,no,yes,yes,38975,4824,12%,77%,93%
50970,PHOSPHATE,BLOOD,yes,no,no,yes,36346,4831,13%,72%,93%
50893,"CALCIUM, TOTAL",BLOOD,yes,yes,no,yes,35736,4868,14%,70%,94%
51274,PT,BLOOD,no,no,yes,yes,37101,4703,13%,73%,91%
51006,UREA NITROGEN,BLOOD,no,no,yes,yes,36360,4663,13%,72%,90%
51256,NEUTROPHILS,BLOOD,no,yes,yes,yes,32517,4827,15%,64%,93%
51244,LYMPHOCYTES,BLOOD,no,yes,no,yes,30281,4811,16%,60%,93%
50902,CHLORIDE,BLOOD,yes,no,no,yes,33406,4406,13%,66%,85%
50882,BICARBONATE,BLOOD,yes,no,yes,yes,31117,4486,14%,61%,87%
50821,pO2,BLOOD,no,no,yes,yes,29170,4080,14%,57%,79%
50912,CREATININE,BLOOD,yes,yes,yes,yes,25175,4154,17%,50%,80%
51265,PLATELET COUNT,BLOOD,yes,yes,yes,yes,28256,3815,14%,56%,74%
51275,PTT,BLOOD,no,no,yes,yes,28371,3815,13%,56%,74%
50862,ALBUMIN,BLOOD,no,yes,yes,yes,21439,4084,19%,42%,79%
51237,INR(PT),BLOOD,no,no,yes,yes,25035,3847,15%,49%,74%
50820,PH,BLOOD,yes,no,no,yes,25432,3761,15%,50%,73%
50818,PCO2,BLOOD,yes,no,no,yes,25203,3734,15%,50%,72%
50971,POTASSIUM,BLOOD,yes,no,no,yes,24032,3554,15%,47%,69%
51277,RDW,BLOOD,no,no,no,yes,21999,3656,17%,43%,71%
51249,MCHC,BLOOD,no,no,no,yes,28638,3067,11%,56%,59%
50813,LACTATE,BLOOD,no,yes,yes,yes,19915,3584,18%,39%,69%
50983,SODIUM,BLOOD,no,no,yes,yes,20833,3306,16%,41%,64%
50804,CALCULATED TOTAL CO2,BLOOD,no,no,yes,yes,17489,3252,19%,34%,63%
51493,RBC,URINE,no,no,no,yes,18244,3187,17%,36%,62%
50960,MAGNESIUM,BLOOD,yes,no,no,yes,19949,3096,16%,39%,60%
50808,FREE CALCIUM,BLOOD,yes,yes,no,no,22384,2724,12%,44%,53%
50878,ASPARATE AMINOTRANSFERASE (AST),BLOOD,no,yes,yes,yes,16150,2994,19%,32%,58%
51248,MCH,BLOOD,no,no,no,yes,22087,2660,12%,44%,51%
50863,ALKALINE PHOSPHATASE,BLOOD,no,yes,no,yes,13148,2817,21%,26%,54%
51003,TROPONIN T,BLOOD,no,no,yes,yes,14638,2729,19%,29%,53%
50809,GLUCOSE,BLOOD,no,yes,no,yes,24322,2296,9%,48%,44%
50954,LACTATE DEHYDROGENASE (LD),BLOOD,no,yes,yes,yes,13578,2675,20%,27%,52%
50910,CREATINE KINASE (CK),BLOOD,no,no,no,yes,16940,2542,15%,33%,49%
50868,ANION GAP,BLOOD,no,yes,no,yes,13525,2509,19%,27%,48%
50861,ALANINE AMINOTRANSFERASE (ALT),BLOOD,no,no,yes,yes,12693,2379,19%,25%,46%
50811,HEMOGLOBIN,BLOOD,yes,no,yes,no,21225,1948,9%,42%,38%
51516,WBC,URINE,no,no,yes,yes,11374,2318,20%,22%,45%
