ITEMID,LABEL,FLUID,ref1,ref2,chatgpt,neo4j,Sepsis_abnormal,SEPSIS_PROP,NonSepsis_abnormal,NONSEPSIS_PROP,LLM_causal_relation,LLM_importance_in_onset,LLM_crucial_in_onset
51279,RED BLOOD CELLS,BLOOD,no,no,no,yes,5109,98.70556414219476,43107,94.55363018205747,no,yes,no
51222,HEMOGLOBIN,BLOOD,yes,no,yes,yes,5114,98.80216383307574,42535,93.29896907216497,no,yes,yes
51221,HEMATOCRIT,BLOOD,yes,no,no,yes,5094,98.41576506955178,42724,93.7135336696644,no,yes,yes
50931,GLUCOSE,BLOOD,no,yes,no,yes,5108,98.68624420401856,43091,94.51853476639614,no,yes,yes
51006,UREA NITROGEN,BLOOD,no,no,yes,yes,4663,90.08887171561052,31697,69.52621188857205,no,yes,yes
51244,LYMPHOCYTES,BLOOD,no,yes,no,yes,4811,92.9482225656878,25470,55.867514805878486,no,yes,yes
51256,NEUTROPHILS,BLOOD,no,yes,yes,yes,4827,93.25734157650696,27690,60.73700372888791,yes,yes,yes
51301,WHITE BLOOD CELLS ,BLOOD,no,no,yes,yes,4824,93.19938176197836,34151,74.90897126562842,yes,yes,yes
51274,PT,BLOOD,no,no,yes,yes,4703,90.86166924265842,32398,71.06382978723404,no,yes,no
50912,CREATININE,BLOOD,yes,yes,yes,yes,4154,80.25502318392581,21021,46.10879578855012,yes,yes,yes
51237,INR(PT),BLOOD,no,no,yes,yes,3847,74.32380216383308,21188,46.47510418951524,no,yes,yes
50893,"CALCIUM, TOTAL",BLOOD,yes,yes,no,yes,4868,94.04945904173108,30868,67.70783066461944,no,yes,no
50882,BICARBONATE,BLOOD,yes,no,yes,yes,4486,86.6692426584235,26631,58.41412590480368,no,yes,no
50813,LACTATE,BLOOD,no,yes,yes,yes,3584,69.24265842349304,16331,35.821452072822986,yes,yes,yes
51277,RDW,BLOOD,no,no,no,yes,3656,70.63369397217929,18343,40.23470059223514,no,yes,no
50821,pO2,BLOOD,no,no,yes,yes,4080,78.82534775888718,25090,55.03399868392192,no,yes,no
50902,CHLORIDE,BLOOD,yes,no,no,yes,4406,85.12364760432767,29000,63.610440886159246,no,yes,no
50970,PHOSPHATE,BLOOD,yes,no,no,yes,4831,93.33462132921174,31515,69.12700153542444,no,yes,no
51265,PLATELET COUNT,BLOOD,yes,yes,yes,yes,3815,73.70556414219475,24441,53.610440886159246,no,yes,yes
50820,PH,BLOOD,yes,no,no,yes,3761,72.66228748068006,21671,47.53454704979162,no,yes,no
50862,ALBUMIN,BLOOD,no,yes,yes,yes,4084,78.90262751159196,17355,38.06755867514806,no,yes,no
51003,TROPONIN T,BLOOD,no,no,yes,yes,2729,52.72411128284389,11909,26.12195656942312,no,yes,no
50818,PCO2,BLOOD,yes,no,no,yes,3734,72.14064914992272,21469,47.091467427067336,no,yes,no
51275,PTT,BLOOD,no,no,yes,yes,3815,73.70556414219475,24556,53.86268918622505,yes,yes,no
51248,MCH,BLOOD,no,no,no,yes,2660,51.39103554868625,19427,42.6124150032902,no,yes,no
50878,ASPARATE AMINOTRANSFERASE (AST),BLOOD,no,yes,yes,yes,2994,57.84389489953632,13156,28.857205527527967,no,yes,no
50863,ALKALINE PHOSPHATASE,BLOOD,no,yes,no,yes,2817,54.42426584234931,10331,22.660671199824524,no,yes,no
51493,RBC,URINE,no,no,no,yes,3187,61.57264296754251,15057,33.026979600789645,no,yes,no
50804,CALCULATED TOTAL CO2,BLOOD,no,no,yes,yes,3252,62.82843894899536,14237,31.22833954814652,no,yes,no
50983,SODIUM,BLOOD,no,no,yes,yes,3306,63.87171561051005,17527,38.44483439350735,no,yes,no
